Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
97;CCAFS,SLC-40;GPS III-04 (Sacagawea);4,311kg;MEO;USSF;Success;F9 B5B1062.1;Success(drone ship);5 November 202023:;24:23
98;KSC,LC-39A;Crew-1(Crew Dragon C207.1 Resilience);~12,500kg;LEO (ISS);NASA (CCP);Success;F9 B5B1061.1;Success(drone ship);16 November 2020;00:27
99;VAFB,SLC-4E;Sentinel-6 Michael Freilich (Jason-CS A);1,192kg;LEO;NASA / NOAA / ESA / EUMETSAT;Success;F9 B5B1063.1;Success(ground pad);21 November 202017:;17:08
100;CCAFS,SLC-40;Starlink 15 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1049.7;Success(drone ship);25 November 2020;02:13
101;KSC,LC-39A;SpaceX CRS-21(Dragon C208.1);2,972kg;LEO (ISS);NASA (CRS);Success;F9 B5 ♺B1058.4;Success(drone ship);6 December 202016:;17:08
102;CCSFS,SLC-40;SXM-7;7,000kg;GTO;Sirius XM;Success;F9 B5 ♺B1051.7;Success(drone ship);13 December 202017:;30:00
103;KSC,LC-39A;NROL-108;C;LEO;NRO;Success;F9 B5 ♺B1059.5;Success(ground pad);19 December 202014:;00:00
104;CCSFS,SLC-40;Türksat 5A;3,500kg;GTO;Türksat;Success;F9 B5 ♺B1060.4;Success(drone ship);8 January 2021;02:15
105;KSC,LC-39A;Starlink 16 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1051.8;Success(drone ship);20 January 2021;13:02
106;CCSFS,SLC-40;Transporter-1 (143 smallsat rideshare);~5,000kg;SSO;Various;Success;F9 B5 ♺B1058.5;Success(drone ship);24 January 2021;15:00
107;CCSFS,SLC-40;Starlink 18 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1060.5;Success(drone ship);4 February 2021;06:19
108;CCSFS,SLC-40;Starlink 19 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1059.6;Failure (drone ship);16 February 202103:;59:37
109;KSC,LC-39A;Starlink 17 v1.0 (60 satellites);15,600kg;LEO;SpaceX;Success;F9 B5 ♺B1049.8;Success(drone ship);4 March 2021;08:24
